source,Hearing #,Date,Hearing/Report,Year,Congress,Type,Committee1,Committee2,Category1
,S. Hrg. 112-614 - Innovating with Less: Examining Efforts to Reform Information Technology Spending,,,,112,Hearing,214,,3
,"S. Hrg. 112-675, PART I - Wall Street and the Financial Crisis: Anatomy of A Financial Collapse",,,,112,Hearing,214,,4
,"S. Hrg. 112-675, PART II - WALL STREET AND THE FINANCIAL CRISIS: ANATOMY OF A FINANCIAL COLLAPSE",,,,112,Hearing,214,,4
,"S. Hrg. 112-675, PART III - WALL STREET AND THE FINANCIAL CRISIS: ANATOMY OF A FINANCIAL COLLAPSE",,,,112,Hearing,214,,4
,"S. Hrg. 112-675, Part IV - WALL STREET AND THE FINANCIAL CRISIS: ANATOMY OF A FINANCIAL COLLAPSE",,,,112,Hearing,214,,4
,"S. Hrg. 112-675, Volume 5 - [ERRATA] WALL STREET AND THE FINANCIAL CRISIS: ANATOMY OF A FINANCIAL COLLAPSE",,,,112,Errata,214,,0
,"S. Hrg. 112-72, Part 7 - [ERRATA] CONFIRMATION HEARINGS ON FEDERAL APPOINTMENTS",,,,112,Errata,217,,0
,"S. Hrg. 112-745 - [errata] Nominations Before the Senate Armed Services Committee, Second Session, 112th Congress",,,,112,Errata,204,,0
,"S. Hrg. 112-793 - Combating International Organized Crime: Evaluating Current Authorities, Tools, and Resources",,,,112,Hearing,220,,3
,S. Hrg. 112-798 - Department of Defense Appropriations for Fiscal Year 2013,,,,112,Hearing,220,,2
,S. Hrg. 112-93 - Protecting the Promise to Our Seniors: Preserving Senior Programs,,,,112,Hearing,201,,7
,S. Hrg. 112-983 - Oversight Hearing on the Brownfield's Program - Cleaning up and Rebuilding Communities,,,,112,Hearing,209,,3
,"S. Hrg. 113-108, Part 1 - DEPARTMENT OF DEFENSE AUTHORIZATION FOR APPROPRIATIONS FOR FISCAL YEAR 2014 AND THE FUTURE YEARS...",,,,113,Hearing,220,,2
,"S. Hrg. 113-144 - Orr, Elkind, Suh, and Beaudreau Nominations",,,,113,Hearing,208,,1
,"S. Hrg. 113-194, Volume 2 - THE CONSUMER FINANCIAL PROTECTION BUREAU'S SEMIANNUAL REPORT TO CONGRESS",,,,113,Hearing,205,,3
,S. Hrg. 113-201 - Syria,,,,113,Hearing,212,,3
,S. Hrg. 113-236 - The State of Small Business Lending: Identifying Obstacles and Exploring Solutions,,,,113,Roundtable,219,,6
,S. Hrg. 113-239 - From Warriors to Entrepreneurs: Business Opportunities for Veterans,,,,113,Hearing,219,,7
,S. Hrg. 113-286 - Successes and Challenges of Meeting Sustainability Goals in Hawaii and the Pacific,,,,113,Hearing,208,,6
,"S. Hrg. 113-397, Volume 1 - OFFSHORE TAX EVASION: THE EFFORT TO COLLECT UNPAID TAXES ON BILLIONS IN HIDDEN OFFSHORE ACCOUNTS",,,,113,Hearing,214,,6
,S. Hrg. 113-471 - THE FINANCIAL STABILITY OVERSIGHT COUNCIL ANNUAL REPORT TO CONGRESS,,,,113,Hearing,205,,3
,"S. Hrg. 113-473, Volume 2 - FEDERAL RESERVE'S SECOND MONETARY POLICY REPORT FOR 2014",,,,113,Hearing,205,,3
,"S. Hrg. 113-569 - THE FEDERAL HOUSING FINANCE AGENCY: BALANCING STABILITY, GROWTH, AND AFFORDABILITY IN THE...",,,,113,Hearing,205,,3
,S. Hrg. 113-738 - EXAMINING FEDERAL EFFORTS TO ENCOURAGE SMALL BUSINESS INNOVATION,,,,113,Hearing,219,,7
,S. Hrg. 113-797 - CHARTING A PATH FORWARD FOR THE CHEMICAL FACILITIES ANTI-TERRORISM STANDARDS PROGRAM,,,,113,Hearing,214,,3
,S. Hrg. 113-863 - [ERRATA] Older Americans: The Changing Face of HIV / AIDS,,,,113,Errata,201,,0
,S. Hrg. 113-95 - Essential Elements of Housing Finance Reform,,,,113,Hearing,205,,6
,"S. Hrg. 113-96, Volume 2 - JPMORGAN CHASE WHALE TRADES: A CASE HISTORY OF DERIVATIVES RISKS AND ABUSES",,,,113,Hearing,214,,5
,"S. Hrg. 114-151 - NOMINATION OF JEFFREY MICHAEL PRIETO, OF CALIFORNIA, TO BE GENERAL COUNSEL OF THE DEPARTMENT OF...",,,,114,Hearing,202,,1
,"S. Hrg. 114-204, Part 5 - Department of Defense Authorization for Appropriations for Fiscal Year 2016 and the Future Years...",,,,114,Hearing,204,,2
,"S. Hrg. 114-214, Part 4 - [ERRATA] DEPARTMENT OF DEFENSE AUTHORIZATION FOR APPROPRIATIONS FOR FISCAL YEAR 2016 AND THE...",,,,114,Errata,204,,0
,S. Hrg. 114-253 - BUSINESS MEETING,,,,114,Meeting,209,,9
,"S. Hrg. 114-28, Part 2 - [ERRATA II] DEPARTMENT OF DEFENSE AUTHORIZATION FOR APPROPRIATIONS FOR FISCAL YEAR 2016 AND THE...",,,,114,Errata,204,,0
,"S. Hrg. 114-28, Part 2 - [ERRATA] DEPARTMENT OF DEFENSE AUTHORIZATION FOR APPROPRIATIONS FOR FISCAL YEAR 2016 AND THE...",,,,114,Errata,204,,0
,S. Hrg. 114-3 - REGULATORY RELIEF FOR COMMUNITY BANKS AND CREDIT UNIONS,,,,114,Hearing,205,,3
,S. Hrg. 114-332 - NOMINATIONS OF PETER V. NEFFENGER AND DAVID S. SHAPIRA,,,,114,Hearing,214,,1
,S. Hrg. 114-370 - [errata] the Status of Innovative Technologies within the Automotive Industry,,,,114,Errata,208,,0
,"S. Hrg. 114-505 - [errata] S. 3018, the Securing Energy Infrastructure Act, and to Examine Protections Designed to...",,,,114,Errata,208,,0
,S. Hrg. 114-571 - Business Meeting: Omnibus Committee Funding,,,,114,Hearing,218,,2
,"S. Hrg. 114-658, Part 5 - Department of Defense Authorization for Appropriations for Fiscal Year 2017 and the Future Years...",,,,114,Hearing,204,,2
,S. Hrg. 115-59 - [Errata] A Look Ahead: Inspector General Recommendations for Improving Federal Agencies,,,,115,Errata,207,,0
,S. Hrg. 115-6 - Backpage.com's Knowing Facilitation of Online Sex Trafficking,,,,115,Hearing,214,,5
,S. Hrg. 115-6177 - [errata] Examining Omb's Memorandum on the Federal Workforce Part II: Expert Views on Omb's...,,,,115,Errata,214,,0
,Serial No. 112-154 (Joint Hearing) - NEW AUDIT FINDS PROBLEMS IN ARMY MILITARY PAY,,,,112,Hearing,214,115,4
"""A Year After the Deepwater Horizon Oil Spill: The Status of Recovery Efforts In Florida""",S. Hrg. 112-433 - A Year After the Deepwater Horizon Oil Spill: the Status of Recovery Efforts in Florida,2011-07-11T00:00:00,"""A Year After the Deepwater Horizon Oil Spill: The Status of Recovery Efforts In Florida""",2011,112,Hearing,219,,3
"""An Examination of SBA Programs: Eliminating Inefficiencies, Duplications, Fraud and Abuse""","S. Hrg. 112-892 - An Examination of Sba Programs: Eliminating Inefficiencies, Duplications, Fraud, and Abuse",2011-06-16T00:00:00,"""An Examination of SBA Programs: Eliminating Inefficiencies, Duplications, Fraud and Abuse""",2011,112,Hearing,219,,3
"""Closing the Gap: Exploring Minority Access to Capital and Contracting Opportunities""",S. Hrg. 112-891 - Closing the Gap: Exploring Minority Access to Capital and Contracting Opportunities,2011-03-03T00:00:00,"""Closing the Gap: Exploring Minority Access to Capital and Contracting Opportunities""",2011,112,Hearing,219,,6
"""Confirmation of Marie Annette Collins Johns to be the Deputy Administrator of the Small Business Administration""",S. Hrg. 111-1119 - Confirmation of Marie Annette Collins Johns to Be the Deputy Administrator of the Small Business...,2010-05-19T00:00:00,"""Confirmation of Marie Annette Collins Johns to be the Deputy Administrator of the Small Business Administration""",2010,111,Hearing,219,,1
"""Connecting Main Street to the World: Small Business Perspectives on Internet Access""",S. Hrg. 111-1168 - Connecting Main Street to the World: Small Business Perspectives on Internet Access,2010-05-13T00:00:00,"""Connecting Main Street to the World: Small Business Perspectives on Internet Access""",2010,111,Hearing,219,,6
"""Disaster Preparedness and Response: The Special Needs of Older Americans""",,2017-09-20T00:00:00,"""Disaster Preparedness and Response: The Special Needs of Older Americans""",2017,115,Hearing,201,,3
"""Entrepreneurial Development: Obstacles and Opportunities for Supporting, Sustaining and Growing America’s Entrepreneurs”","S. Hrg. 112-836 - Entrepreneurial Development: Obstacles and Opportunities for Supporting, Sustaining, and Growing...",2011-07-21T00:00:00,"""Entrepreneurial Development: Obstacles and Opportunities for Supporting, Sustaining and Growing America’s Entrepreneurs”",2011,112,Hearing,219,,6
"""Insulin Access and Affordability: The Rising Cost of Treatment""",,2018-05-08T00:00:00,"""Insulin Access and Affordability: The Rising Cost of Treatment""",2018,115,Hearing,201,,6
"""Oversight of the SBA Disaster Assistance Program""",S. Hrg. 111-1173 - Oversight of the Sba Disaster Assistance Program,2010-05-19T00:00:00,"""Oversight of the SBA Disaster Assistance Program""",2010,111,Hearing,219,,3
"""Ringing Off the Hook: Examining the Proliferation of Unwanted Calls”",,2015-06-10T00:00:00,"""Ringing Off the Hook: Examining the Proliferation of Unwanted Calls”",2015,114,Hearing,201,,6
"""Still Ringing Off The Hook: An Update on Efforts to Combat Robocalls”",,2017-10-04T00:00:00,"""Still Ringing Off The Hook: An Update on Efforts to Combat Robocalls”",2017,115,Hearing,201,,3
"""Stopping Senior Scams""",,2018-03-07T00:00:00,"""Stopping Senior Scams""",2018,115,Hearing,201,,6
"""The FY2011 Budget Request for the Small Business Administration”",S. Hrg. 111-1164 - The Fiscal Year 2011 Budget Request for the Small Business Administration,2010-04-21T00:00:00,"""The FY2011 Budget Request for the Small Business Administration”",2010,111,Hearing,219,,2
"""The Four Famines"": Root Causes and a Multilateral Action Plan",,2017-07-18T00:00:00,"""The Four Famines"": Root Causes and a Multilateral Action Plan",2017,115,Hearing,212,,3
"""The Role of Exports in Small Business Growth and Job Creation""",S. Hrg. 112-494 - The Role of Exports in Small Business Growth and Job Creation,2011-08-11T00:00:00,"""The Role of Exports in Small Business Growth and Job Creation""",2011,112,Hearing,219,,3
"""The Role of Small Businesses in Strengthening Cybersecurity Efforts in the United States""",S. Hrg. 112-262 - The Role of Small Businesses in Strengthening Cybersecurity Efforts in the United States,2011-07-25T00:00:00,"""The Role of Small Businesses in Strengthening Cybersecurity Efforts in the United States""",2011,112,Hearing,219,,3
"""The SBA in Your Community: A Review of SBA Field Operations""",S. Hrg. 112-882 - The Sba in Your Community: A Review of Sba Field Operations,2011-06-30T00:00:00,"""The SBA in Your Community: A Review of SBA Field Operations""",2011,112,Hearing,219,,3
"""Trust Betrayed: Financial Abuse of Older Americans by Guardians and Others in Power""",,2016-11-30T00:00:00,"""Trust Betrayed: Financial Abuse of Older Americans by Guardians and Others in Power""",2016,114,Hearing,201,,5
#BeThere: What More Can Be Done to Prevent Veteran Suicide?,,2017-09-27T00:00:00,#BeThere: What More Can Be Done to Prevent Veteran Suicide?,2017,115,Hearing,221,,6
#BringBackOurGirls: Addressing The Threat of Boko Haram,S. Hrg. 113-628 - #BringBackOurGirls: ADDRESSING THE THREAT OF BOKO HARAM,2014-05-15T00:00:00,#BringBackOurGirls: Addressing The Threat of Boko Haram,2014,113,Hearing,212,,3
"$150 Oil: Instability, Terrorism and Economic Disruptions","S. Hrg. 111-105 - $150 OIL: INSTABILITY, TERRORISM AND ECONOMIC DISRUPTION",2009-07-16T00:00:00,"$150 Oil: Instability, Terrorism and Economic Disruptions",2009,111,Hearing,212,,3
'Exports' Place on the Path of Economic Recovery,,2009-12-09T00:00:00,'Exports' Place on the Path of Economic Recovery,2009,111,Hearing,211,,3
(CANCELED) Business Meeting to Consider S. 1285 & H.R. 984,,2017-07-26T14:30:00,(CANCELED) Business Meeting to Consider S. 1285 & H.R. 984,2017,115,Meeting,215,,9
(CANCELED) Oversight Hearing on “The GAO Reports on Human Trafficking of American Indian and Alaska Natives in the United States.”,,2017-07-26T14:30:00,(CANCELED) Oversight Hearing on “The GAO Reports on Human Trafficking of American Indian and Alaska Natives in the United States.”,2017,115,Cancelled,215,,12
(Hearing has been POSTPONED) Securitization of Assets: Problems and Solutions,,2009-09-24T00:00:00,(Hearing has been POSTPONED) Securitization of Assets: Problems and Solutions,2009,111,Postponed,205,,10
"(Listening Session) on Human Trafficking in Indian Country, Open to public",,2014-08-28T14:00:00,"(Listening Session) on Human Trafficking in Indian Country, Open to public",2014,113,Listening Session,215,,3
"(There is no video for this Hearing) Oversight Field Heaing on ""The Indian Health Service: Ensuring the IHS is Living Up to Its Trust Responsibility.""",S. Hrg. 113-416 - The Indian Health Service: Ensuring the Ihs Is Living up to Its Trust Esponsibility,2014-05-27T10:30:00,"(There is no video for this Hearing) Oversight Field Heaing on ""The Indian Health Service: Ensuring the IHS is Living Up to Its Trust Responsibility.""",2014,113,Hearing,215,,7
***UPDATED TIME: Full Committee Legislative Hearing on the Water Resources Development Act of 2012,S. Hrg. 112-978 - A Legislative Hearing on the Water Resources Development Act of 2012,2012-11-15T00:00:00,***UPDATED TIME: Full Committee Legislative Hearing on the Water Resources Development Act of 2012,2012,112,Hearing,209,,2
**POSTPONED DUE TO GOVERNMENT SHUTDOWN** Advanced Biofuels: Creating Jobs and Lower Prices at the Pump,,2013-10-03T00:00:00,**POSTPONED DUE TO GOVERNMENT SHUTDOWN** Advanced Biofuels: Creating Jobs and Lower Prices at the Pump,2013,113,Postponed,202,,10
*CANCELED* BUSINESS MEETING to consider the nomination of Cynthia Chavez and Barbara Jean Ells to serve as Members on the Board of Trustees for the Institute of American Indian and Alaska Native Culture and Arts Development,,2011-06-23T14:15:00,*CANCELED* BUSINESS MEETING to consider the nomination of Cynthia Chavez and Barbara Jean Ells to serve as Members on the Board of Trustees for the Institute of American Indian and Alaska Native Culture and Arts Development,2011,112,Meeting,215,,9
--Time Change-- Executive Business Meeting,,2009-03-26T00:00:00,--Time Change-- Executive Business Meeting,2009,111,Meeting,217,,9
10 Years Later: A Look at the Medicare Prescription Drug Program,S. Hrg. 113-799 - TEN YEARS LATER: A LOOK AT THE MEDICARE PRESCRIPTION DRUG PROGRAM,2013-05-22T00:00:00,10 Years Later: A Look at the Medicare Prescription Drug Program,2013,113,Hearing,201,,3
112th Small Business Organizational Meeting,,2011-02-03T00:00:00,112th Small Business Organizational Meeting,2011,112,Hearing,219,,3
114th Congress - Organizational Meeting,S. Hrg. 114-570 - Organizational Meeting,2015-01-29T00:00:00,114th Congress - Organizational Meeting,2015,114,Meeting,218,,9
2013 Farm Bill Conference Meeting,,2013-10-30T00:00:00,2013 Farm Bill Conference Meeting,2013,113,Meeting,202,,9
2014 Farm Bill: Implementation and Next Steps,S. Hrg. 113-558 - 2014 FARM BILL: IMPLEMENTATION AND NEXT STEPS,2014-05-07T00:00:00,2014 Farm Bill: Implementation and Next Steps,2014,113,Hearing,202,,2
2014 Legislative Presentation of The American Legion,,2014-03-26T00:00:00,2014 Legislative Presentation of The American Legion,2014,113,Hearing,221,,2
2014 Legislative Presentation of the Disabled American Veterans,,2014-02-25T00:00:00,2014 Legislative Presentation of the Disabled American Veterans,2014,113,Hearing,221,,2
2014 Legislative Presentation of the Veterans of Foreign Wars,,2014-03-05T00:00:00,2014 Legislative Presentation of the Veterans of Foreign Wars,2014,113,Hearing,221,,2
2015 Paris International Climate Negotiations: Examining the Economic and Environmental Impacts,,2015-10-20T00:00:00,2015 Paris International Climate Negotiations: Examining the Economic and Environmental Impacts,2015,114,Hearing,212,,3
21st Century Challenges and Opportunities for Women Entrepreneurs in the Northwest,"S. Hrg. 113-593 - EMPOWERING WOMEN ENTREPRENEURS: UNDERSTANDING SUCCESS, ADDRESSING PERSISTENT CHALLENGES, AND...",2014-08-20T00:00:00,21st Century Challenges and Opportunities for Women Entrepreneurs in the Northwest,2014,113,Hearing,219,,6
30 Years of Goldwater-Nichols Reform,S. Hrg. 114-316 - 30 YEARS OF GOLDWATER-NICHOLS REFORM,2015-11-10T00:00:00,30 Years of Goldwater-Nichols Reform,2015,114,Hearing,204,,6
876-SCAM: Jamaican Phone Fraud Targeting Seniors,S. Hrg. 113-806 - 876-SCAM: JAMAICAN PHONE FRAUD TARGETING SENIORS,2013-03-13T00:00:00,876-SCAM: Jamaican Phone Fraud Targeting Seniors,2013,113,Hearing,201,,6
"A 21st Century Transportation System: Reducing Gridlock, Tackling Climate Change, and Growing Connecticut’s Economy","S. Hrg. 111-158 - A 21st CENTURY TRANSPORTATION SYSTEM: REDUCING GRIDLOCK, TACKLING CLIMATE CHANGE, AND GROWING...",2009-04-16T00:00:00,"A 21st Century Transportation System: Reducing Gridlock, Tackling Climate Change, and Growing Connecticut’s Economy",2009,111,Hearing,205,,6
A Balanced Budget Amendment: The Perils of Constitutionalizing the Budget Debate,S. Hrg. 112-512 - The Perils of Constitutionalizing the Budget Debate,2011-11-30T00:00:00,A Balanced Budget Amendment: The Perils of Constitutionalizing the Budget Debate,2011,112,Hearing,217,,3
A Biennial Approach to Better Budgeting,S. Hrg. 114-343 - SENATE BUDGET COMMITTEE MID-SESSION HEARINGS FISCAL YEAR 2016,2015-11-04T00:00:00,A Biennial Approach to Better Budgeting,2015,114,Hearing,206,,3
A Breakdown in Risk Management: What Went Wrong at JPMorgan Chase?,S. Hrg. 112-715 - A Breakdown in Risk Management: What Went Wrong at Jpmorgan Chase?,2012-06-13T00:00:00,A Breakdown in Risk Management: What Went Wrong at JPMorgan Chase?,2012,112,Hearing,205,,5
"A Closer Look at Nigeria: Security, Governance, and Trade","S. Hrg. 112-651 - A Closer Look at Nigeria: Security, Governance, and Trade",2012-03-29T00:00:00,"A Closer Look at Nigeria: Security, Governance, and Trade",2012,112,Hearing,212,,3
A Comparison of International Housing Finance Systems,S. Hrg. 111-886 - A Comparison of International Housing Finance Systems,2010-09-29T00:00:00,A Comparison of International Housing Finance Systems,2010,111,Hearing,205,,6
A Dangerous Slide Backwards: Russia's Deteriorating Human Rights Situation,S. Hrg. 113-179 - A Dangerous Slide Backwards: Russia's Deteriorating Human Rights,2013-06-13T00:00:00,A Dangerous Slide Backwards: Russia's Deteriorating Human Rights Situation,2013,113,Hearing,212,,6
A Decade of the Digital Coast Partnership Program: Successes and Opportunities,,2018-06-05T00:00:00,A Decade of the Digital Coast Partnership Program: Successes and Opportunities,2018,115,Hearing,207,,3
A Delicate Balance: FDA and the Reform of the Medical Device Approval Process,S. Hrg. 112-92 - A Delicate Balance: Fda and the Reform of the Medical Device Approval Process,2011-04-13T00:00:00,A Delicate Balance: FDA and the Reform of the Medical Device Approval Process,2011,112,Hearing,201,,3
"A Fresh Look at the Impact of the Medical Device Tax on Jobs, Innovation, and Patients","S. Hrg. 114-224 - A FRESH LOOK AT THE IMPACT OF THE MEDICAL DEVICE TAX ON JOBS, INNOVATION, AND PATIENTS",2015-04-23T00:00:00,"A Fresh Look at the Impact of the Medical Device Tax on Jobs, Innovation, and Patients",2015,114,Hearing,211,,6
A Fresh Start for New Starts,S. Hrg. 111-210 - A FRESH START FOR NEW STARTS,2009-06-03T00:00:00,A Fresh Start for New Starts,2009,111,Hearing,205,,3
A Growth Agenda: Reducing Unnecessary Regulatory Burdens,S. Hrg. 115-110 - A Growth Agenda: Reducing Unnecessary Regulatory Burdens,2017-02-01T00:00:00,A Growth Agenda: Reducing Unnecessary Regulatory Burdens,2017,115,Hearing,207,,6
"A Hearing on S.980, The Embassy Security and Personnel Protection Act of 2013",S. Hrg. 113-200 - S. 980--the Embassy Security and Personnel Protection Act of 2013,2013-07-16T00:00:00,"A Hearing on S.980, The Embassy Security and Personnel Protection Act of 2013",2013,113,Hearing,212,,2
"A Listening Session on ""Addressing Gaps in Protections and Services for Native Women""",,2018-02-12T00:00:00,"A Listening Session on ""Addressing Gaps in Protections and Services for Native Women""",2018,115,Listening Session,215,,
"A Listening Session on ""Tribal Higher Education Priorities""",,2018-02-15T00:00:00,"A Listening Session on ""Tribal Higher Education Priorities""",2018,115,Listening Session,215,,
A Listening Session on Putting Patients First: Addressing Indian Country’s Critical Concerns Regarding IHS,,2016-02-03T16:00:00,A Listening Session on Putting Patients First: Addressing Indian Country’s Critical Concerns Regarding IHS,2016,114,Listening Session,215,,4
A Look Ahead: Inspector General Recommendations for Improving Federal Agencies,S. Hrg. 115-59 - A Look Ahead: Inspector General Recommendations for Improving Federal Agencies,2017-02-08T00:00:00,A Look Ahead: Inspector General Recommendations for Improving Federal Agencies,2017,115,Hearing,207,,3
"A National Priority: The Importance of Child Nutrition Programs to our Nation’s Health, Economy and National Security","S. Hrg. 113-560 - A NATIONAL PRIORITY: THE IMPORTANCE OF CHILD NUTRITION PROGRAMS TO OUR NATION’S HEALTH, ECONOMY...",2014-06-12T00:00:00,"A National Priority: The Importance of Child Nutrition Programs to our Nation’s Health, Economy and National Security",2014,113,Hearing,202,,6
A New Strategy for Afghanistan and Pakistan,S. Hrg. 111-307 - A NEW STRATEGY FOR AFGHANISTAN AND PAKISTAN,2009-05-21T00:00:00,A New Strategy for Afghanistan and Pakistan,2009,111,Hearing,212,,3
A Pathway to Improving Care for Medicare Patients with Chronic Conditions,S. Hrg. 114-246 - A PATHWAY TO IMPROVING CARE FOR MEDICARE PATIENTS WITH CHRONIC CONDITIONS,2015-05-14T00:00:00,A Pathway to Improving Care for Medicare Patients with Chronic Conditions,2015,114,Hearing,211,,3
"A Pivotal Moment for the Eastern Partnership: Outlook for Ukraine, Moldova, Georgia, Belarus, Armenia, and Azerbaijan","S. Hrg. 113-154 - A Pivotal Moment for the Eastern Partnership: Outlook for Ukraine, Moldova, Georgia, Belarus...",2013-11-14T00:00:00,"A Pivotal Moment for the Eastern Partnership: Outlook for Ukraine, Moldova, Georgia, Belarus, Armenia, and Azerbaijan",2013,113,Hearing,212,,3
A Prescription for Savings: Reducing Drug Costs to Medicare,S. Hrg. 112-125 - A Prescription for Savings: Reducing Drug Costs to Medicare,2011-07-21T00:00:00,A Prescription for Savings: Reducing Drug Costs to Medicare,2011,112,Hearing,201,,3
A Progress Report on Conflict Minerals,,2017-04-05T00:00:00,A Progress Report on Conflict Minerals,2017,115,Hearing,212,,6
A Progress Report on the West Africa Ebola Epidemic,,2016-04-07T00:00:00,A Progress Report on the West Africa Ebola Epidemic,2016,114,Hearing,212,,6
A Review of Child Nutrition Programs,S. Hrg. 114-149 - A REVIEW OF CHILD NUTRITION PROGRAMS,2015-05-07T00:00:00,A Review of Child Nutrition Programs,2015,114,Hearing,202,,3
A Review of Criteria Used by the IRS to Identify 501(c)(4) Applications for Greater Scrutiny,S. Hrg. 113-232 - A Review of Criteria Used by the Irs to Identify 501(c)(4) Applications for Greater Scrutiny,2013-05-21T00:00:00,A Review of Criteria Used by the IRS to Identify 501(c)(4) Applications for Greater Scrutiny,2013,113,Hearing,211,,3
A Review of the FY 2017 State and USAID Budget Request,,2016-03-01T00:00:00,A Review of the FY 2017 State and USAID Budget Request,2016,114,Hearing,212,,2
A Review of the State Department Reauthorization Bill for FY 2018 and the State Department Reorganization Plans,,2017-07-17T00:00:00,A Review of the State Department Reauthorization Bill for FY 2018 and the State Department Reorganization Plans,2017,115,Hearing,212,,2
"A Review of the Technical, Scientific, and Legal Basis of the WOTUS Rule",,2017-04-26T00:00:00,"A Review of the Technical, Scientific, and Legal Basis of the WOTUS Rule",2017,115,Hearing,209,,4
A Review of the U.S. Livestock and Poultry Sectors: Marketplace Opportunities and Challenges,S. Hrg. 114-644 - A Review of the U.S. Livestock and Poultry Sectors: Marketplace Opportunities and Challenges,2016-05-26T00:00:00,A Review of the U.S. Livestock and Poultry Sectors: Marketplace Opportunities and Challenges,2016,114,Hearing,202,,6
A Shared Responsibility: Counternarcotics and Citizen Security in the Americas,S. Hrg. 112-57 - A Shared Responsibility: Counternarcotics and Citizen Security in the Americas,2011-03-31T00:00:00,A Shared Responsibility: Counternarcotics and Citizen Security in the Americas,2011,112,Hearing,212,,6
A Spotlight on Small Business Investment Companies and Their Role in the Entrepreneurship Ecosystem,S. Hrg. 112-487 - A Spotlight on Small Business Investment Companies and Their Role in the Entrepreneurship Ecosystem,2012-03-22T00:00:00,A Spotlight on Small Business Investment Companies and Their Role in the Entrepreneurship Ecosystem,2012,112,Hearing,219,,6
A Status Report on the U.S. Economy,S. Hrg. 111-736 - A Status Report on the U.s. Economy,2010-08-03T00:00:00,A Status Report on the U.S. Economy,2010,111,Hearing,206,,6
