DATE,NAME,COMMITTEE,CATEGORY
2012-03-28,OPEN/CLOSED: Department of Defense Nuclear Forces and Policies,Senate Committee on Armed Services,Policy
2011-03-31,Libya Operation Odyssey Dawn,Senate Committee on Armed Services,Policy
2010-07-15,OPEN/CLOSED: New START,Senate Committee on Armed Services,Legislative
2018-12-11,Oversight of the U.S. Securities and Exchange Commission,"Senate Committee on Banking, Housing, and Urban Affairs",Policy
2018-01-18,Full Committee Hearing: CFIUS Reform: Examining the Essential Elements,"Senate Committee on Banking, Housing, and Urban Affairs",Policy
2017-09-12,Examining the Fintech Landscape,"Senate Committee on Banking, Housing, and Urban Affairs",Policy
2017-03-15,Assessing U.S. Sanctions on Russia: Next Steps,"Senate Committee on Banking, Housing, and Urban Affairs",Policy
2015-09-30,Oversight of the Securities Investor Protection Corporation,"Senate Committee on Banking, Housing, and Urban Affairs",Policy
2013-03-07,Patterns of Abuse: Assessing Bank Secrecy Act Compliance and Enforcement,"Senate Committee on Banking, Housing, and Urban Affairs",Policy
2010-09-22,Oversight of the SEC Inspector Generalâ€™s Report on the â€˜Investigation of the SECâ€™s Response to Concerns Regarding Robert Allen Stanfordâ€™s Alleged Ponzi Schemeâ€™ and Improving SEC Performance,"Senate Committee on Banking, Housing, and Urban Affairs",Agency Conduct
2009-03-05,"American International Group: Examining what went wrong, government intervention, and implications for future regulation","Senate Committee on Banking, Housing, and Urban Affairs",Private Sector Oversight
2009-01-27,Madoff Investment Securities Fraud: Regulatory and Oversight Concerns and the Need for Reform,"Senate Committee on Banking, Housing, and Urban Affairs",Private Sector Oversight
2016-09-14,Oversight of the Congressional Budget Office (CBO),Senate Committee on Budget,Policy
2018-10-03,Protecting U.S. Amateur Athletes: Examining Abuse Prevention Efforts Across the Olympic Movement,"Senate Committee on Commerce, Science, and Transportation",Private Sector Oversight
2015-11-04,Zero Stars: How Gagging Honest Reviews Harms Consumers and the Economy,"Senate Committee on Commerce, Science, and Transportation",Private Sector Oversight
2015-03-24,"Surface Transportation Reauthorization: Performance, not Prescription","Senate Committee on Commerce, Science, and Transportation",Legislative
2015-03-04,Surface Transportation Reauthorization - Oversight and Reform of the Federal Motor Carrier Safety Administration,"Senate Committee on Commerce, Science, and Transportation",Legislative
2014-07-17,Examining Accountability and Corporate Culture in Wake of the GM Recalls,"Senate Committee on Commerce, Science, and Transportation",Private Sector Oversight
2011-12-06,"Contaminated Drywall: Current Health, Housing and Product Safety Issues Facing Homeowners","Senate Committee on Commerce, Science, and Transportation",Policy
2011-10-18,Pipeline Safety Since San Bruno and Other Recent Incidents,"Senate Committee on Commerce, Science, and Transportation",Legislative
2011-10-03,Hearing to Review Massachusetts Fishery Management Plans,"Senate Committee on Commerce, Science, and Transportation",Field
2010-06-30,Deepwater Horizon Tragedy: Holding Responsible Parties Accountable,"Senate Committee on Commerce, Science, and Transportation",Private Sector Oversight
2009-10-29,Reauthorization of the National Transportation Safety Board,"Senate Committee on Commerce, Science, and Transportation",Legislative
2018-04-10,Cooperative Federalism Under the Clean Air Act: State Perspectives,Senate Committee on Environment and Public Works,Policy
2014-09-08,"Subcommittee on Water and Wildlife field hearing entitled, ""Examining the Strategy for Achieving the Goals of the New Voluntary Chesapeake Bay Watershed Agreement.""",Senate Committee on Environment and Public Works,Field
2013-07-31,"Full Committee hearing entitled, â€œStrengthening Public Health Protections by Addressing Toxic Chemical Threats.â€",Senate Committee on Environment and Public Works,Legislative
2018-05-15,Full Committee Hearing: Examining Oversight Reports on the 340B Drug Pricing Program,"Senate Committee on Health, Education, Labor, and Pensions",Agency Conduct
2017-11-15,Full Committee Hearing: Encouraging Healthy Communities: Perspective from the Surgeon General,"Senate Committee on Health, Education, Labor, and Pensions",Policy
2017-10-03,Full Committee Hearing: The Every Student Succeeds Act: Unleashing State Innovation,"Senate Committee on Health, Education, Labor, and Pensions",Legislative
2016-09-22,Full Committee Hearing: Exploring Current Practices in Cosmetic Development and Safety,"Senate Committee on Health, Education, Labor, and Pensions",Legislative
2015-06-17,Full Committee Hearing: Reauthorizing the Higher Education Act: Evaluating Accreditationâ€™s Role in Ensuring Quality,"Senate Committee on Health, Education, Labor, and Pensions",Legislative
2015-05-20,Full Committee Hearing: Reauthorizing the Higher Education Act: Exploring Institutional Risk-sharing,"Senate Committee on Health, Education, Labor, and Pensions",Legislative
2015-01-21,Full Committee Hearing: Fixing No Child Left Behind: Testing and Accountability,"Senate Committee on Health, Education, Labor, and Pensions",Legislative
2012-07-29,For Profit Higher Education: The Failure to Safeguard the Federal Investment and Ensure Student Success,"Senate Committee on Health, Education, Labor, and Pensions",Private Sector Oversight
2009-04-30,Full Committee Hearing: Primary Health Care Access Reform: Community Health Centers and the National Health Service Corps,"Senate Committee on Health, Education, Labor, and Pensions",Policy
2018-02-06,"Subcommittee Hearing : Terrible, No Good, Very Bad Ways of Funding Government: Exploring the Cost to Taxpayers of Spending Uncertainty caused by Governing through Continuing Resolutions, Giant Omnibus Spending Bills, and Shutdown Crises",Senate Committee on Homeland Security and Governmental Affairs,Policy
2018-01-25,Permanent Subcommittee on Investigations Subcommittee Hearing : Combatting the Opioid Crisis: Exploiting Vulnerabilities in International Mail,Senate Committee on Homeland Security and Governmental Affairs,Private Sector Oversight
2017-10-26,Subcommittee Hearing : Improving Oversight of the Regulatory Process: Lessons from State Legislatures,Senate Committee on Homeland Security and Governmental Affairs,Fact Finding
2017-09-07,Permanent Subcommittee on Investigations Subcommittee Hearing : Cutting Through the Red Tape: Oversight of Federal Infrastructure Permitting and the Federal Permitting Improvement Steering Council,Senate Committee on Homeland Security and Governmental Affairs,Fact Finding
2016-12-01,Subcommittee Hearing : Examining Two GAO Reports Regarding the Renewable Fuel Standard,Senate Committee on Homeland Security and Governmental Affairs,Policy
2016-07-12,Permanent Subcommittee on Investigations Subcommittee Hearing : Majority and Minority Staff Report - Review of U.S. State Department Grants to OneVoice,Senate Committee on Homeland Security and Governmental Affairs,Report
2016-04-27,Full Committee Hearing : Government Reform: Ending Duplication and Holding Washington Accountable,Senate Committee on Homeland Security and Governmental Affairs,Policy
2015-11-17,Joint Subcommittee Hearing : Examining On-Going Challenges at the U.S. Secret Service and their Government-wide Implications,Senate Committee on Homeland Security and Governmental Affairs,Agency Conduct
2015-06-11,Full Committee Hearing : Blowing the Whistle on Retaliation: Accounts of Current and Former Federal Agency Whistleblowers,Senate Committee on Homeland Security and Governmental Affairs,Agency Conduct
2015-06-10,Subcommittee Hearing : Wasteful Spending in the Federal Government: An Outside Perspective,Senate Committee on Homeland Security and Governmental Affairs,Fact Finding
2014-03-06,Financial and Contracting Oversight Subcommittee Hearing : Oversight of Contractor Performance Information,Senate Committee on Homeland Security and Governmental Affairs,Agency Conduct
2013-06-24,Oversight : Curbing Prescription Drug Abuse in Medicare,Senate Committee on Homeland Security and Governmental Affairs,Agency Conduct
2013-05-22,"Financial and Contracting Oversight Subcommittee Hearing : Oversight and Business Practices of Durable Medical Equipment Companies, Part 2",Senate Committee on Homeland Security and Governmental Affairs,Private Sector Oversight
2013-05-08,Oversight : Curbing Federal Agency Waste and Fraud: New Steps to Strengthen the Integrity of Federal Payments,Senate Committee on Homeland Security and Governmental Affairs,Agency Conduct
2013-04-24,"Financial and Contracting Oversight Subcommittee Hearing : Oversight and Business Practices of Durable Medical Equipment Companies, Part I",Senate Committee on Homeland Security and Governmental Affairs,Private Sector Oversight
2012-06-14,Federal Financial Management Subcommittee Hearing : Saving Taxpayer Dollars by Curbing Waste and Fraud in Medicaid,Senate Committee on Homeland Security and Governmental Affairs,Agency Conduct
2012-01-25,Contracting Oversight Subcommittee Hearing : Contract Management at Arlington National Cemetery,Senate Committee on Homeland Security and Governmental Affairs,Agency Conduct
2011-05-25,Federal Financial Management Oversight : Assessing Efforts to Eliminate Improper Payments,Senate Committee on Homeland Security and Governmental Affairs,Agency Conduct
2010-12-08,"Permanent Subcommittee on Investigations Subcommittee Hearing : Examining the Efficiency, Stability, and Integrity of the U.S. Capital Markets",Senate Committee on Homeland Security and Governmental Affairs,Policy
2010-05-20,Contracting Oversight Oversight : Counternarcotics Contracts in Latin America,Senate Committee on Homeland Security and Governmental Affairs,Agency Conduct
2010-03-16,Oversight of Government Management Oversight : Assessing Foster Care and Family Services in the District of Columbia: Challenges and Solutions,Senate Committee on Homeland Security and Governmental Affairs,Policy
2010-03-04,Disaster Recovery and Intergovernmental Affairs Oversight : The Next Big Disaster: Is the Private Sector Prepared?,Senate Committee on Homeland Security and Governmental Affairs,Fact Finding
2009-09-24,Oversight of Government Management Oversight : A Review of U.S. Diplomatic Readiness: Addressing the Staffing and Foreign Language Challenges Facing the Foreign Service,Senate Committee on Homeland Security and Governmental Affairs,Policy
2009-09-23,Oversight : Defense Contract Audit Agency: Who Is Responsible for Reform?,Senate Committee on Homeland Security and Governmental Affairs,Agency Conduct
2009-04-21,"Contracting Oversight Oversight : Improving the Ability of Inspectors General to Detect, Prevent, and Prosecute Contracting Fraud",Senate Committee on Homeland Security and Governmental Affairs,Policy
2016-02-03,A Listening Session on Putting Patients First: Addressing Indian Countryâ€™s Critical Concerns Regarding IHS,Senate Committee on Indian Affairs,Fact Finding
2015-05-13,"Oversight Hearing on ""Bureau of Indian Education: Examining Organizational Challenges in Transforming Educational Opportunities for Indian Children.""",Senate Committee on Indian Affairs,Policy
2011-10-13,"Oversight Hearing on the CARCIERI Crisis: The Ripple Effect on Jobs, Economic Development and Public Safety in Indian Country",Senate Committee on Indian Affairs,Policy
2017-06-28,Open Hearing: Russian Intervention in European Elections,Senate Committee on Intelligence,Fact Finding
2017-03-30,Open Hearing: Disinformation: A Primer in Russian Active Measures and Influence Campaigns Panel I,Senate Committee on Intelligence,Policy
2017-03-30,Open Hearing: Disinformation: A Primer in Russian Active Measures and Influence Campaigns Panel II,Senate Committee on Intelligence,Policy
2017-01-10,Open Hearing: Russian Intelligence Activities,Senate Committee on Intelligence,Policy
2015-05-14,Joint Committee on Printing,Senate Committee on Rules and Administration,Meeting/Markup
2015-05-14,Joint Committee on the Library,Senate Committee on Rules and Administration,Meeting/Markup
2013-07-24,Public Printer Nomination and S. 375,Senate Committee on Rules and Administration,Meeting/Markup
2011-05-11,"Public Printer Nomination, S. Res. 116 and S. 739",Senate Committee on Rules and Administration,Meeting/Markup
2015-01-15,Field Hearing: The Effects of the Affordable Care Act on Small Businesses and How Congress is Exempted From the Law,Senate Committee on Small Business and Entrepreneurship,Field
2011-06-16,"""An Examination of SBA Programs: Eliminating Inefficiencies, Duplications, Fraud and Abuse""",Senate Committee on Small Business and Entrepreneurship,Agency Conduct
2018-09-18,"Business Meeting: Meeting to Consider Pending Nominations (Bonzanto, Gfrerer)",Senate Committee on Veterans' Affairs,Meeting/Markup
2018-01-17,The State of the VA: A Progress Report on Implementing 2017 VA Reform Legislation,Senate Committee on Veterans' Affairs,Agency Conduct
2017-11-21,The State of VA Services in Ohio,Senate Committee on Veterans' Affairs,Field
2015-12-14,"FIELD HEARING - Keeping the Promise for Arizona Veterans: The VA Choice Card, Management Accountability and Phoenix VA Medical Center",Senate Committee on Veterans' Affairs,Field
2015-08-21,FIELD HEARING: The Veterans Choice Program: Are Problems in Georgia Indicative of a National Problem?,Senate Committee on Veterans' Affairs,Field
2015-04-29,GAO's High Risk List and the Veterans Health Administration,Senate Committee on Veterans' Affairs,Agency Conduct
2011-12-12,"Field Hearing: Columbus, OH",Senate Committee on Veterans' Affairs,Field
2011-12-12,"Field Hearing: Quincy, MA",Senate Committee on Veterans' Affairs,Field
2010-02-17,Field Hearing on Services for Veterans in Alaska,Senate Committee on Veterans' Affairs,Field
2010-02-16,Field Hearing on Services for Veterans in Alaska 02-16-10,Senate Committee on Veterans' Affairs,Field
2010-01-07,Field Hearing: State of VA Services on Maui,Senate Committee on Veterans' Affairs,Field
