DATE,NAME,COMMITTEE,CATEGORY
2014-06-19,A REVIEW OF THE INTERPRETIVE RULE REGARDING THE APPLICABILITY OF CLEAN WATER ACT AGRICULTURAL EXEMPTIONS,House Committee on Agriculture,Legislative
2014-04-30,HEARING TO REVIEW THE STATE OF THE LIVESTOCK INDUSTRY,House Committee on Agriculture,Fact Finding
2014-04-29,HEARING TO REVIEW CURRENT RESEARCH AND APPLICATION OF MANAGEMENT,House Committee on Agriculture,Policy
2014-04-03,HEARING TO REVIEW THE STATE OF THE RURAL ECONOMY,House Committee on Agriculture,Fact Finding
2013-10-02,THE FUTURE OF CFTC: PERSPECTIVES ON CUSTOMER PROTECTIONS,House Committee on Agriculture,Fact Finding
2013-07-24,THE FUTURE OF THE CFTC: END-USER PERSPECTIVES,House Committee on Agriculture,Fact Finding
2013-07-23,THE FUTURE OF THE CFTC: COMMISSION PERSPECTIVES,House Committee on Agriculture,Fact Finding
2013-05-21,THE FUTURE OF THE CFTC: MARKET PERSPECTIVES,House Committee on Agriculture,Fact Finding
2013-04-24,HEARING TO REVIEW HORTICULTURE PRIORITIES FOR THE 2013 FARM BILL,House Committee on Agriculture,Legislative
2013-03-26,HEARING TO REVIEW THE IMPACTS OF ENDANGERED SPECIES ACT AND RELATED LITIGATION ON NATIONAL FOREST SYSTEM MANAGEMENT,House Committee on Agriculture,Policy
2013-03-14,EXAMINING LEGISLATIVE IMPROVEMENTS TO TITLE VII OF THE DODD-FRANK ACT,House Committee on Agriculture,Legislative
2013-03-13,NATIONAL FOREST MANAGEMENT AND ITS IMPACTS ON RURAL ECONOMIES AND COMMUNITIES,House Committee on Agriculture,Policy
2013-03-05,HEARING TO REVIEW THE STATE OF THE RURAL ECONOMY,House Committee on Agriculture,Fact Finding
2012-12-13,DODD-FRANK DERIVATIVES REFORM: CHALLENGES FACING U.S. AND INTERNATIONAL MARKETS,House Committee on Agriculture,Fact Finding
2012-07-25,OVERSIGHT OF THE SWAPS AND FUTURES MARKETS: RECENT EVENTS AND IMPENDING REGULATORY REFORMS,House Committee on Agriculture,Policy
2012-03-28,"HEARING TO REVIEW H.R. 3283, H.R. 1838, AND H.R. 4235",House Committee on Agriculture,Legislative
2012-03-27,U.S. FOREST SERVICE LAND MANAGEMENT: CHALLENGES AND OPPORTUNITIES FOR ACHIEVING HEALTHIER NATIONAL FORESTS,House Committee on Agriculture,Fact Finding
2012-03-21,HEARING TO IDENTIFY DUPLICATIVE FEDERAL RURAL DEVELOPMENT PROGRAMS,House Committee on Agriculture,Policy
2012-03-09,THE FUTURE OF U.S. FARM POLICY: FORMULATION OF THE 2012 FARM BILL,House Committee on Agriculture,Legislative
2012-02-29,THE COMMODITY FUTURES TRADING COMMISSION 2012 AGENDA,House Committee on Agriculture,Policy
2011-12-08,HEARING TO EXAMINE THE MF GLOBAL BANKRUPTCY,House Committee on Agriculture,Private Sector Oversight
2011-12-01,"HEARING TO REVIEW UPDATES ON USDA INSPECTOR GENERAL AUDITS, INCLUDING SNAP FRAUD DETECTION EFFORTS AND IT COMPLIANCE",House Committee on Agriculture,Policy
2011-11-03,HEARING TO REVIEW THE IMPLEMENTATION OF PHASE II OF THE CHESAPEAKE BAY TMDL WATERSHED IMPLEMENTATION PLANS AND THEIR IMPACTS ON RURAL COMMUNITIES,House Committee on Agriculture,Policy
2011-10-12,HEARING TO REVIEW LEGISLATIVE PROPOSALS AMENDING TITLE VII OF THE DODD-FRANK WALL STREET REFORM AND CONSUMER PROTECTION ACT,House Committee on Agriculture,Legislative
2011-09-24,HEARING TO REVIEW THE ROLE OF BROADBAND ACCESS IN RURAL ECONOMIC DEVELOPMENT,House Committee on Agriculture,Fact Finding
2011-09-14,HEARING TO EXAMINE THE ISSUE OF FEED AVAILABILITY AND ITS EFFECT ON THE LIVESTOCK AND POULTRY INDUSTRIES,House Committee on Agriculture,Fact Finding
2011-07-21,DERIVATIVES REFORM: THE VIEW FROM MAIN STREET,House Committee on Agriculture,Fact Finding
2011-06-23,HEARING TO REVIEW THE OPPORTUNITIES AND BENEFITS OF AGRICULTURAL BIOTECHNOLOGY,House Committee on Agriculture,Fact Finding
2011-06-02,HEARING TO REVIEW RECENT INVESTIGATIONS AND AUDITS CONDUCTED BY THE USDA INSPECTOR GENERAL,House Committee on Agriculture,Policy
2011-05-25,HARMONIZING GLOBAL DERIVATIVES REFORM: IMPACT ON U.S. COMPETITIVENESS AND MARKET STABILITY,House Committee on Agriculture,Fact Finding
2011-05-12,HEARING TO REVIEW PENDING FREE TRADE AGREEMENTS,House Committee on Agriculture,Legislative
2011-05-05,HEARING TO REVIEW THE U.S. FOREST SERVICE'S PROPOSED FOREST PLANNING RULE,House Committee on Agriculture,Legislative
2011-05-04,HEARING TO REVIEW THE STATE OF THE PORK INDUSTRY,House Committee on Agriculture,Fact Finding
2011-05-03,"AT RISK: AMERICAN JOBS, AGRICULTURE, HEALTH AND SPECIESâ€”THE COSTS OF FEDERAL REGULATORY DYSFUNCTION",House Committee on Agriculture,Fact Finding
2011-04-14,HEARING TO REVIEW CREDIT CONDITIONS IN RURAL AMERICA,House Committee on Agriculture,Fact Finding
2011-04-13,IMPLEMENTING DODD-FRANK: A REVIEW OF THE CFTC'S RULEMAKING PROCESS,House Committee on Agriculture,Policy
2011-04-13,HEARING TO REVIEW THE STATE OF THE POULTRY INDUSTRY,House Committee on Agriculture,Fact Finding
2011-04-07,HEARING TO REVIEW MARKET PROMOTION PROGRAMS AND THEIR EFFECTIVENESS ON EXPANDING EXPORTS OF U.S. AGRICULTURAL PRODUCTS,House Committee on Agriculture,Policy
2011-04-06,HEARING TO REVIEW THE STATE OF THE BEEF INDUSTRY,House Committee on Agriculture,Fact Finding
2011-03-31,DEFINING THE MARKET: ENTITY AND PRODUCT CLASSIFICATIONS UNDER TITLE VII OF THE DODD-FRANK WALL STREET REFORM AND CONSUMER PROTECTION ACT,House Committee on Agriculture,Legislative
2011-03-10,HEARING TO REVIEW THE IMPACT OF EPA REGULATION ON AGRICULTURE,House Committee on Agriculture,Fact Finding
2011-02-17,HEARING TO REVIEW THE STATE OF THE FARM ECONOMY,House Committee on Agriculture,Fact Finding
2011-02-16,"HEARING TO CONSIDER REDUCING THE REGULATORY BURDENS POSED BY THE CASE, NATIONAL COTTON COUNCIL V. EPA (6TH CIR. 2009) AND TO REVIEW RELATED DRAFT LEGISLATION",House Committee on Agriculture,Policy
2011-02-15,HEARING TO REVIEW THE VARIOUS DEFINITIONS OF RURAL APPLIED UNDER PROGRAMS OPERATED BY THE U.S. DEPARTMENT OF AGRICULTURE,House Committee on Agriculture,Policy
2010-12-15,HEARING TO REVIEW IMPLEMENTATION OF PROVISIONS OF THE DODD-FRANK WALL STREET REFORM AND CONSUMER PROTECTION ACT RELATING TO POSITION LIMITS,House Committee on Agriculture,Policy
2010-07-28,HEARING TO REVIEW QUALITY CONTROL SYSTEMS IN THE SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,House Committee on Agriculture,Policy
2010-07-22,HEARING TO REVIEW THE STATE OF THE CROP INSURANCE INDUSTRY,House Committee on Agriculture,Fact Finding
2010-07-21,HEARING TO REVIEW SPECIALTY CROP AND ORGANIC AGRICULTURE PROGRAMS IN ADVANCE OF THE 2012 FARM BILL,House Committee on Agriculture,Legislative
2010-07-20,HEARING TO REVIEW LIVESTOCK AND RELATED PROGRAMS AT USDA IN ADVANCE OF THE 2012 FARM BILL,House Committee on Agriculture,Legislative
2010-07-20,HEARING TO REVIEW RURAL DEVELOPMENT PROGRAMS IN ADVANCE OF THE 2012 FARM BILL,House Committee on Agriculture,Legislative
2010-07-01,HEARING TO REVIEW THE ADMINISTRATION AND DELIVERY OF CONSERVATION PROGRAMS,House Committee on Agriculture,Policy
2010-06-23,HEARING TO REVIEW THE FOOD DISTRIBUTION PROGRAM ON INDIAN RESERVATIONS,House Committee on Agriculture,Policy
2010-06-17,HEARING TO REVIEW U.S. FARM SAFETY NET PROGRAMS IN ADVANCE OF THE 2012 FARM BILL,House Committee on Agriculture,Legislative
2010-06-09,HEARING TO REVIEW THE IMPLEMENTATION OF THE 2008 FARM BILL ENERGY TITLE,House Committee on Agriculture,Legislative
2010-05-12,"HEARING TO REVIEW H.R. 4785, THE RURAL ENERGY SAVINGS PROGRAM ACT",House Committee on Agriculture,Legislative
2010-04-30,"HEARING TO REVIEW U.S. AGRICULTURE POLICY IN ADVANCE OF THE 2012 FARM BILL, PART 2",House Committee on Agriculture,Legislative
2010-04-22,HEARING TO REVIEW PROPOSALS TO ESTABLISH EXCHANGES TRADING ``MOVIE FUTURES'',House Committee on Agriculture,Legislative
2010-04-21,"HEARING TO REVIEW U.S. AGRICULTURE POLICY IN ADVANCE OF THE 2012 FARM BILL, PART 1",House Committee on Agriculture,Legislative
2010-04-20,HEARING TO REVIEW DAIRY POLICY,House Committee on Agriculture,Fact Finding
2010-04-14,HEARING TO REVIEW ACCESS TO HEALTHY FOODS FOR BENEFICIARIES OF FEDERAL NUTRITION PROGRAMS AND EXPLORE INNOVATIVE METHODS TO IMPROVE AVAILABILITY,House Committee on Agriculture,Fact Finding
2010-03-23,HEARING TO REVIEW RURAL WATER INFRASTRUCTURE,House Committee on Agriculture,Policy
2010-03-11,HEARING TO REVIEW U.S. AGRICULTURAL SALES TO CUBA,House Committee on Agriculture,Fact Finding
2010-03-10,HEARING TO REVIEW USDA'S INFORMATION TECHNOLOGY SYSTEMS,House Committee on Agriculture,Policy
2010-03-03,HEARING TO REVIEW IMPLEMENTATION OF CHANGES TO THE COMMODITY EXCHANGE ACT CONTAINED IN THE 2008 FARM BILL,House Committee on Agriculture,Policy
2010-01-25,HEARING TO REVIEW FEDERAL NUTRITION PROGRAMS,House Committee on Agriculture,Policy
2009-12-09,HEARING TO REVIEW THE REGULATORY AND LEGISLATIVE STRATEGIES IN THE CHESAPEAKE BAY WATERSHED,House Committee on Agriculture,Policy
2009-12-03,HEARING TO REVIEW THE COSTS AND BENEFITS OF AGRICULTURE OFFSETS,House Committee on Agriculture,Fact Finding
2009-12-02,HEARING TO REVIEW THE POTENTIAL ECONOMIC IMPACTS OF CLIMATE CHANGE ON THE FARM SECTOR,House Committee on Agriculture,Fact Finding
2009-11-19,HEARING TO REVIEW RURAL BROADBAND PROGRAMS FUNDED BY THE AMERICAN RECOVERY AND REINVESTMENT ACT,House Committee on Agriculture,Policy
2009-11-17,HEARING TO REVIEW THE FINANCIAL STABILITY IMPROVEMENT ACT DISCUSSION DRAFT,House Committee on Agriculture,Legislative
2009-10-29,HEARING TO REVIEW THE FUTURE OF NEXT GENERATION BIOFUELS,House Committee on Agriculture,Fact Finding
2009-10-28,"HEARING TO REVIEW IMPLEMENTATION OF THE HORTICULTURE AND ORGANIC AGRICULTURE TITLE OF THE FOOD, CONSERVATION, AND ENERGY ACT OF 2008",House Committee on Agriculture,Policy
2009-10-22,HEARING TO REVIEW THE ECONOMIC CONDITIONS FACING THE PORK INDUSTRY,House Committee on Agriculture,Policy
2009-10-21,HEARING TO EXAMINE THE U.S. DEPARTMENT OF AGRICULTURE'S RURAL BUSINESS PROGRAMS AND TO REVIEW CURRENT CONDITIONS FOR RURAL ENTREPRENEURSHIP AND BUSINESS DEVELOPMENT,House Committee on Agriculture,Fact Finding
2009-10-07,HEARING TO REVIEW THE IMPLEMENTATION OF THE CONSERVATION TITLE OF THE 2008 FARM BILL,House Committee on Agriculture,Legislative
2009-09-30,HEARING TO REVIEW THE IMPLEMENTATION OF THE RESEARCH TITLE OF THE 2008 FARM BILL,House Committee on Agriculture,Policy
2009-09-17,HEARING TO REVIEW PROPOSED LEGISLATION BY THE U.S. DEPARTMENT OF THE TREASURY REGARDING THE REGULATION OF OVER-THE-COUNTER DERIVATIVES MARKETS,House Committee on Agriculture,Legislative
2009-08-05,HEARING TO EXAMINE NEW AND INNOVATIVE WAYS TO IMPROVE NUTRITION AND WELLNESS PROGRAMS,House Committee on Agriculture,Legislative
2009-07-30,HEARING TO REVIEW THE P.L. 83-566 WATERSHED PROPOSALS FOR THE DUNLOUP CREEK WATERSHED AND THE CAPE COD WATER RESOURCES RESTORATION PROJECT,House Committee on Agriculture,Policy
2009-07-20,HEARING TO REVIEW FOREST RESOURCE MANAGEMENT IN NORTHERN WISCONSIN,House Committee on Agriculture,Policy
2009-07-16,HEARING TO REVIEW CURRENT ISSUES IN FOOD SAFETY,House Committee on Agriculture,Fact Finding
2009-07-14,HEARING TO REVIEW ECONOMIC CONDITIONS FACING THE DAIRY INDUSTRY,House Committee on Agriculture,Fact Finding
2009-07-10,HEARING TO EXAMINE THE REGULATION OF OVER-THE-COUNTER DERIVATIVES,House Committee on Agriculture,Fact Finding
2009-07-09,HEARING TO REVIEW RURAL BROADBAND PROGRAMS,House Committee on Agriculture,Policy
2009-06-24,"HEARING TO REVIEW IMPLEMENTATION OF THE FOOD, CONSERVATION, AND ENERGY ACT OF 2008",House Committee on Agriculture,Policy
2009-06-11,HEARING TO REVIEW CREDIT CONDITIONS IN RURAL AMERICA,House Committee on Agriculture,Fact Finding
2009-06-11,HEARING TO REVIEW PENDING CLIMATE LEGISLATION,House Committee on Agriculture,Fact Finding
2009-06-10,HEARING TO REVIEW RURAL DEVELOPMENT PROGRAMS OPERATED BY THE U.S. DEPARTMENT OF AGRICULTURE AND STATUS OF AMERICAN RECOVERY AND REINVESTMENT ACT FUNDS FOR THESE PROGRAMS,House Committee on Agriculture,Policy
2009-06-04,HEARING TO REVIEW IMPLICATIONS OF THE CFTC V. ZELENER CASE,House Committee on Agriculture,Fact Finding
2009-06-03,HEARING TO REVIEW THE FUTURE OF OUR NATION'S FORESTS,House Committee on Agriculture,Policy
2009-05-21,HEARING TO REVIEW LOW CARBON FUEL STANDARD PROPOSALS,House Committee on Agriculture,Fact Finding
2009-05-14,HEARING TO REVIEW FOOD SAFETY STANDARDS FOR HORTICULTURE AND ORGANIC AGRICULTURE,House Committee on Agriculture,Policy
2009-05-06,HEARING TO REVIEW THE IMPACT OF THE INDIRECT LAND USE AND RENEWABLE BIOMASS PROVISIONS IN THE RENEWABLE FUEL STANDARD,House Committee on Agriculture,Policy
2009-05-05,HEARING TO REVIEW THE NATIONAL ANIMAL IDENTIFICATION SYSTEM,House Committee on Agriculture,Policy
2009-04-29,HEARING TO REVIEW THE U.S. DEPARTMENT OF AGRICULTURE'S OFFICE OF THE ASSISTANT SECRETARY FOR CIVIL RIGHTS,House Committee on Agriculture,Policy
2009-04-23,HEARING TO REVIEW FEDERAL FOOD SAFETY SYSTEMS AT THE U.S. DEPARTMENT OF AGRICULTURE,House Committee on Agriculture,Policy
2009-04-22,HEARING TO REVIEW PRODUCERS' VIEWS ON THE EFFECTIVENESS OF THE FEDERAL CROP INSURANCE PROGRAM,House Committee on Agriculture,Policy
2009-04-02,HEARING TO REVIEW CURRENT FOOD SAFETY SYSTEMS,House Committee on Agriculture,Fact Finding
2009-04-01,HEARING TO REVIEW THE STATE OF THE FARM ECONOMY,House Committee on Agriculture,Fact Finding
2009-03-31,HEARING TO REVIEW INNOVATIVE APPROACHES TO RURAL DEVELOPMENT,House Committee on Agriculture,Fact Finding
2009-03-26,HEARING TO REVIEW THE STATE OF OBESITY IN THE UNITED STATES,House Committee on Agriculture,Fact Finding
2009-03-25,HEARING TO REVIEW THE USDA ADMINISTRATION OF CONSERVATION PROGRAM CONTRACTS,House Committee on Agriculture,Policy
2009-03-11,HEARING TO REVIEW ANIMAL IDENTIFICATION SYSTEMS,House Committee on Agriculture,Policy
2009-02-03,HEARING TO REVIEW DERIVATIVES LEGISLATION,House Committee on Agriculture,Legislative
2018-07-17,"STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS APPROPRIATIONS FOR 2013",House Committee on Appropriations,Meeting/Markup
2018-07-07,"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES APPROPRIATIONS FOR 2013",House Committee on Appropriations,Meeting/Markup
2017-05-24,"INTERIOR, ENVIRONMENT, AND RELATED   AGENCIES APPROPRIATIONS FOR 2018
PART 6",House Committee on Appropriations,Legislative
2017-05-18,DEPARTMENT OF HOMELAND SECURITY APPROPRIATIONS FOR 2018,House Committee on Appropriations,Legislative
2017-05-16,"INTERIOR, ENVIRONMENT, AND RELATED AGENCIES APPROPRIATIONS FOR 2018",House Committee on Appropriations,Legislative
2017-05-03,LEGISLATIVE BRANCH APPROPRIATIONS FOR 2018,House Committee on Appropriations,Legislative
2017-03-09,DEPARTMENT OF DEFENSE APPROPRIATIONS FOR 2018,House Committee on Appropriations,Legislative
2017-03-08,ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR 2018,House Committee on Appropriations,Legislative
2017-03-01,"DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR 2018",House Committee on Appropriations,Legislative
2017-02-16,"MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES APPROPRIATIONS FOR 2018",House Committee on Appropriations,Legislative
2017-01-01,DEPARTMENT OF HOMELAND SECURITY APPROPRIATIONS FOR 2019,House Committee on Appropriations,Meeting/Markup
2017-01-01,"DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR 2019",House Committee on Appropriations,Meeting/Markup
2017-01-01,ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR 2019,House Committee on Appropriations,Meeting/Markup
2016-03-17,"INTERIOR, ENVIRONMENT, AND RELATED AGENCIES APPROPRIATIONS FOR 2017",House Committee on Appropriations,Meeting/Markup
2016-03-15,"INTERIOR, ENVIRONMENT, AND RELATED AGENCIES APPROPRIATIONS FOR 2017",House Committee on Appropriations,Legislative
2016-03-14,"AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES APPROPRIATIONS FOR 2017",House Committee on Appropriations,Legislative
2016-03-01,ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR 2017,House Committee on Appropriations,Legislative
2016-03-01,LEGISLATIVE BRANCH APPROPRIATIONS FOR 2017,House Committee on Appropriations,Legislative
2016-02-26,"MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES APPROPRIATIONS FOR 2017",House Committee on Appropriations,Legislative
2016-02-25,DEPARTMENT OF DEFENSE APPROPRIATIONS FOR 2017,House Committee on Appropriations,Meeting/Markup
2016-02-25,FINANCIAL SERVICES AND GENERAL GOVERNMENT APPROPRIATIONS FOR 2017,House Committee on Appropriations,Meeting/Markup
2016-02-24,"INTERIOR, ENVIRONMENT, AND RELATED AGENCIES APPROPRIATIONS FOR 2017",House Committee on Appropriations,Legislative
2016-02-24,COMMITTEE ON APPROPRIATIONS,House Committee on Appropriations,Meeting/Markup
2016-02-24,DEPARTMENT OF DEFENSE APPROPRIATIONS FOR 2017,House Committee on Appropriations,Meeting/Markup
2016-02-23,"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES APPROPRIATIONS FOR 2017",House Committee on Appropriations,Meeting/Markup
2016-02-11,ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR 2017,House Committee on Appropriations,Legislative
2016-02-11,FINANCIAL SERVICES AND GENERAL GOVERNMENT APPROPRIATIONS FOR 2017,House Committee on Appropriations,Meeting/Markup
2016-02-10,ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR 2017,House Committee on Appropriations,Legislative
2016-02-10,REVIEW OF AIR TRAFFIC CONTROL REFORM PROPOSALS,House Committee on Appropriations,Fact Finding
